threshold,PN2304-1470_passes,PN2305-1100_passes,PN2304-1470_dr,PN2305-1100_dr
-1.0,5617934,3218882,18726409.213848237,10729585.207496252
-1.5,284061,132332,946868.1062637875,441105.78445509775
-2.0,6095,1613,20316.6260334146,5376.65591335484
-2.5,72,7,239.99952000096,23.33328666676
-3.0,18,2,59.99988000024,6.66665333336
-3.5,12,2,39.999920000159996,6.66665333336
-4.0,11,2,36.66659333348,6.66665333336
-4.5,7,2,23.33328666676,6.66665333336
-5.0,5,2,16.6666333334,6.66665333336
-5.5,4,1,13.33330666672,3.33332666668
-6.0,4,1,13.33330666672,3.33332666668
-6.5,4,1,13.33330666672,3.33332666668
-7.0,3,1,9.999980000039999,3.33332666668
-7.5,3,1,9.999980000039999,3.33332666668
-8.0,3,1,9.999980000039999,3.33332666668
-8.5,3,1,9.999980000039999,3.33332666668
-9.0,3,1,9.999980000039999,3.33332666668
-9.5,3,1,9.999980000039999,3.33332666668
-10.0,3,1,9.999980000039999,3.33332666668
