threshold,PN2305-1100_passes,PN2304-1470_passes,KM56213_passes,KM56206_passes,PN2305-1100_dr,PN2305-1100_dr_error,PN2304-1470_dr,PN2304-1470_dr_error,KM56213_dr,KM56213_dr_error,KM56206_dr,KM56206_dr_error
-0.5,37968608,31697988,29283124,30549222,126543551.30817567,"(126543551.30817567, 20536.55916057128)",105644535.89775892,"(105644535.89775892, 18764.249167597765)",97596164.2933465,"(97596164.2933465, 18035.32804741995)",101815874.88226718,"(101815874.88226718, 18421.09406219988)"
-1.0,5828658,3847204,6295707,3431214,19426023.80052512,"(19426023.80052512, 8046.363156746638)",12822141.300703429,"(12822141.300703429, 6537.142480052068)",20982626.536525667,"(20982626.536525667, 8362.528230196836)",11435710.3862836,"(11435710.3862836, 6173.610779302288)"
-1.5,317155,236436,320640,130055,1057029.007098297,"(1057029.007098297, 1876.9431738792748)",788004.9512771135,"(788004.9512771135, 1620.5862307088018)",1068643.9779792149,"(1068643.9779792149, 1887.2272242051472)",433453.3824728256,"(433453.3824728256, 1201.9291542032586)"
-2.0,17932,18567,9387,5294,59764.60770060904,"(59764.60770060904, 446.3028991676735)",61880.96537905465,"(61880.96537905465, 454.1362940680966)",31285.432326880273,"(31285.432326880273, 322.907960676844)",17644.090629434766,"(17644.090629434766, 242.49752554235408)"
-2.5,7191,8697,5964,2727,23966.50089086993,"(23966.50089086993, 282.6246173079244)",28985.76807786063,"(28985.76807786063, 310.8136460619219)",19877.097943700217,"(19877.097943700217, 257.38554939389275)",9088.673053734154,"(9088.673053734154, 174.04354149823334)"
-3.0,6102,7139,5447,2401,20337.030793504146,"(20337.030793504146, 260.3463207629993)",23793.19286050903,"(23793.19286050903, 281.60089702421675)",18154.01618030434,"(18154.01618030434, 245.97673386492292)",8002.165017240815,"(8002.165017240815, 163.30949014777175)"
-3.5,5565,5479,4984,2116,18547.292095354078,"(18547.292095354078, 248.62679250907047)",18260.667275911048,"(18260.667275911048, 246.69820704439888)",16610.908140744785,"(16610.908140744785, 235.29048218590472)",7052.303696993572,"(7052.303696993572, 153.31094993464285)"
-4.0,5167,4056,4453,1854,17220.819093745646,"(17220.819093745646, 239.57118094060863)",13518.02636815025,"(13518.02636815025, 212.25812135549086)",14841.166523020971,"(14841.166523020971, 222.40353735958377)",6179.097851713649,"(6179.097851713649, 143.50604906091033)"
-4.5,4805,2712,3902,1617,16014.32857469476,"(16014.32857469476, 231.02662778732133)",9038.680352668509,"(9038.680352668509, 173.56421384199953)",13004.767970542965,"(13004.767970542965, 208.1895734788243)",5389.213174876468,"(5389.213174876468, 134.02022813257997)"
-5.0,4497,1573,3454,1331,14987.811779480195,"(14987.811779480195, 223.49961877964463)",5242.567918417244,"(5242.567918417244, 132.18424786682436)",11511.652632049054,"(11511.652632049054, 195.87387248015273)",4436.019007891514,"(4436.019007891514, 121.59182324017159)"
-5.5,4221,835,2886,1081,14067.946079872338,"(14067.946079872338, 216.5324645372547)",2782.927025987539,"(2782.927025987539, 96.30716099982662)",9618.595685029984,"(9618.595685029984, 179.04553959872914)",3602.8073234641074,"(3602.8073234641074, 109.5792162529177)"
-6.0,3987,456,2333,841,13288.059943248285,"(13288.059943248285, 210.44492683917335)",1519.7781123955901,"(1519.7781123955901, 71.17013084110593)",7775.531439076561,"(7775.531439076561, 160.98029255373143)",2802.924106413797,"(2802.924106413797, 96.65255539357919)"
-6.5,3696,317,1840,673,12318.201542574783,"(12318.201542574783, 202.61953959482798)",1056.512415853952,"(1056.512415853952, 59.33964912711029)",6132.437997385715,"(6132.437997385715, 142.96319796994447)",2243.0058544785793,"(2243.0058544785793, 86.46152175830892)"
-7.0,3408,211,1524,493,11358.341682114411,"(11358.341682114411, 194.5651870737062)",703.2306616567314,"(703.2306616567314, 48.412395278069226)",5079.2584282694725,"(5079.2584282694725, 130.10914603763274)",1643.0934416908462,"(1643.0934416908462, 74.00120686104667)"
-7.5,3084,177,1214,346,10278.49933909649,"(10278.49933909649, 185.08555586770757)",589.913872574604,"(589.913872574604, 44.340641918446806)",4046.0759395794876,"(4046.0759395794876, 116.12472172519041)",1153.1649712475312,"(1153.1649712475312, 61.99453292398734)"
-8.0,2787,157,880,255,9288.64385799673,"(9288.64385799673, 175.94779447288045)",523.2569378204115,"(523.2569378204115, 41.76044992811605)",2932.905129184472,"(2932.905129184472, 98.86821173569543)",849.875918115955,"(849.875918115955, 53.22129443325044)"
-8.5,2471,149,672,178,8235.46428888049,"(8235.46428888049, 165.67299203165092)",496.59416391873447,"(496.59416391873447, 40.682579062569204)",2239.6730077408697,"(2239.6730077408697, 86.3972619785226)",593.2467193123136,"(593.2467193123136, 44.465721551741225)"
-9.0,2131,141,516,135,7102.296398059216,"(7102.296398059216, 153.85338923962155)",469.9313900170575,"(469.9313900170575, 39.57536228723245)",1719.7489166581677,"(1719.7489166581677, 75.70772461620967)",449.9343095907997,"(449.9343095907997, 38.72417973183332)"
-9.5,1821,136,401,98,6069.113909369232,"(6069.113909369232, 142.22315737470242)",453.2671563285093,"(453.2671563285093, 38.867338000953865)",1336.4715418215605,"(1336.4715418215605, 66.74020391189815)",326.6189802955435,"(326.6189802955435, 32.993499404459165)"
-10.0,1507,129,286,73,5022.600033728409,"(5022.600033728409, 129.38143660213387)",429.9372291645419,"(429.9372291645419, 37.85386230810484)",953.1941669849534,"(953.1941669849534, 56.36355267226905)",243.2978118528028,"(243.2978118528028, 28.47585500956037)"
