fname,gain,pv_r,sigma,pe_res
.\2023-06-20\nnvt_pn2209-4010_1300v.xml,39719213.35488177,3.599616858237548,28.863794652870016,168.59952142848047
.\2023-06-20\nnvt_pn2209-4017_1100v.xml,15055426.222359026,3.7734265734265735,12.059396404109577,74.14870870981817
.\2023-06-20\nnvt_pn2209-4017_1150v.xml,21806592.358866476,3.9659367396593677,12.08266863276883,109.52411940993666
.\2023-06-20\nnvt_pn2209-4017_1200v.xml,29598837.283874612,4.354026845637584,15.783730412690879,153.9827075549719
.\2023-06-20\nnvt_pn2209-4017_1250v.xml,39531266.033040866,4.064638783269962,26.372457106747156,161.487081068242
.\2023-06-20\nnvt_pn2209-4017_1300v.xml,53513500.622082,4.005338078291815,38.1443563911498,163.3159518573895
.\2023-06-20\ham_km6206_900v.xml,907591.2506049571,1.3603726814257628,0.53409278681506,2.7453850816738115
.\2023-06-20\ham_km6206_950v.xml,986276.873187306,1.5547402406809507,0.6597328734947283,3.774938589352719
.\2023-06-20\ham_km6206_1000v.xml,1068905.2425749963,1.711999292598815,0.8288315496575447,7.243920011631992
.\2023-06-20\ham_km6206_1050v.xml,3803633.680870059,91.85,0.18727308908866333,-88.45921852513806
.\2023-06-20\ham_km6206_1100v.xml,4822124.481191431,,1.2937178396230662,-85.61364483914315
.\2023-06-20\ham_km6206_1150v.xml,4949044.004605486,194.72727272727272,1.630798821153011,-461.14503250028747
.\2023-06-20\ham_km6206_1200v.xml,5768125.642513442,118.49999999999999,2.047091283245795,-667.3152110231299
.\2023-06-20\ham_km6206_1250v.xml,-1.0,-1.0,0.0019987712441511935,-0.05901147201147249
.\2023-06-20\ham_km6206_1300v.xml,7244425.48154143,12.8125,3.3342431503358254,-541.9246835184356
.\2023-06-20\nnvt_pn2209-4010_900v.xml,3027706.1635284596,1.0675335570469797,2.425192636065514,26.145546933833565
.\2023-06-20\nnvt_pn2209-4010_950v.xml,5228000.530159174,1.4543630892678032,4.18762835316076,29.77770094571347
.\2023-06-20\nnvt_pn2209-4010_1000v.xml,15052019.201169688,2.286153846153846,6.028333690068456,41.75424798199461
.\2023-06-20\nnvt_pn2209-4010_1050v.xml,11490613.18899331,3.15,9.203981164383611,57.7117886608863
.\2023-06-20\nnvt_pn2209-4010_1100v.xml,15664274.269748416,3.2204301075268815,11.418274022793277,89.30187213875584
.\2023-06-20\nnvt_pn2209-4010_1150v.xml,21258529.577753868,3.249496981891348,13.852305860883398,124.4176770423294
.\2023-06-20\nnvt_pn2209-4010_1200v.xml,29036805.715886008,3.3448979591836734,23.258481378424705,161.60512015708971
.\2023-06-20\nnvt_pn2209-4010_1250v.xml,41409837.39289926,3.1870026525198942,33.16927975171231,132.68237990845512
.\2023-06-20\nnvt_pn2209-4017_900v.xml,36680992.18870189,1.0621326616288833,1.546393407534208,2.4834006524463015
.\2023-06-20\nnvt_pn2209-4017_950v.xml,4656055.198553202,1.660238751147842,3.729500214041096,27.405629630967066
.\2023-06-20\nnvt_pn2209-4017_1000v.xml,7496949.713970633,2.7187500000000004,5.4639461651042405,37.91661384152807
.\2023-06-20\nnvt_pn2209-4017_1050v.xml,10526225.77941953,3.7777777777777777,7.495616747079099,53.99167521831358
