threshold,km6206_passes,pn2209-4017_passes,pn2209-4010_passes,km6206_dr,pn2209-4017_dr,pn2209-4010_dr
-1.0,8417388,5054556,4256476,20698243.98851555,12429085.28650636,10466617.29021648
-1.5,374170,210222,123502,920079.0023202996,516933.0732709144,303689.75851768354
-2.0,8226,14135,9927,20227.62346817432,34757.775069613905,24410.359612030934
-2.5,853,1050,8820,2097.515538336092,2581.9358912695157,21688.26148666393
-3.0,742,355,8022,1824.5680298304576,872.9402299054077,19725.9902092991
-3.5,685,279,7078,1684.4057957329696,686.057251108757,17404.70689371965
-4.0,615,230,5919,1512.276736315002,565.5669095161796,14554.741467070726
-4.5,540,183,4679,1327.852744081465,449.9945410498299,11505.598128809585
-5.0,461,142,3819,1133.592805595473,349.17609196216307,9390.869684531695
-5.5,369,98,2903,907.3660417890012,240.9806831851548,7138.437992719432
-6.0,297,76,2098,730.3190092448059,186.88297879665066,5158.953809412804
-6.5,224,59,1503,550.8129901374966,145.08020722371563,3695.856804360078
-7.0,178,45,1139,437.6996082342607,110.6543953401221,2800.785695386646
-7.5,142,32,853,349.17609196216307,78.68757001964238,2097.515538336092
-8.0,110,28,654,270.48852194252066,68.85162376718708,1608.1772122764412
-8.5,82,25,483,201.6368981753336,61.47466407784561,1187.690509983977
-9.0,63,24,402,154.91615347617093,59.015677514731784,988.5125983717573
-9.5,49,20,324,120.4903415925774,49.17973126227649,796.7116464488792
-10.0,42,18,277,103.27743565078062,44.26175813604884,681.1392779825294
