threshold,PN2304-1470_passes,PN2305-1100_passes,PN2304-1470_dr,PN2305-1100_dr
-1.0,6429274,3085003,21430849.04078621,10283312.483395882
-1.5,310290,180761,1034296.8971093086,602534.8590620895
-2.0,8874,1974,29579.911260266217,6579.980260059219
-2.5,2133,424,7109.97867006399,1413.3290933460532
-3.0,1765,372,5883.315683386283,1239.9962800111598
-3.5,1535,337,5116.651316712716,1123.3299633434433
-4.0,1336,296,4453.319973373413,986.6637066755466
-4.5,1194,250,3979.9880600358197,833.3308333408332
-5.0,1064,209,3546.656026698586,696.6645766729366
-5.5,988,177,3293.323453362973,589.99823000531
-6.0,931,146,3103.3240233612632,486.66520667104663
-6.5,886,114,2953.324473359913,379.99886000341996
-7.0,848,89,2826.6581866921065,296.66577666933665
-7.5,833,73,2776.6583366916566,243.33260333552332
-8.0,804,63,2679.9919600241196,209.99937000189
-8.5,781,55,2603.325523356763,183.33278333498333
-9.0,765,46,2549.9923500229497,153.33287333471333
-9.5,749,43,2496.6591766891365,143.33290333462332
-10.0,738,41,2459.99262002214,136.66625666789665
