fname,chisqr,gain,pv_r,sigma,pe_res
../../from_Alex/pmt_measurements/2023-08-15_wterm/ham_KM56206_900v.xml,0.10811061658968218,"(-64024.19990370241, 2385275.8792237123)","(0.9999970694738313, 1.1403553105970137)","(1.707526477817538, 3.0232367241374223)","(4.879651358345114, 206.7362888480591)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/ham_KM56206_950v.xml,0.00835828786678717,"(1380947.440050979, 463267.77432992816)","(0.9977970196728584, 0.1764691035723335)","(1.435410843869863, 0.45716558628343673)","(18.688992576963354, 14.086787540572647)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/ham_KM56206_1000v.xml,0.009286115596144336,"(1244857.6552198916, 588987.4544645508)","(0.9982312079510413, 0.04564560420113198)","(2.3495183704725773, 0.4735243338249484)","(14.417255350800486, 5.307106256272934)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/ham_KM56206_1050v.xml,0.0024802398631434378,"(2251297.055554851, 141293.48934986847)","(0.9991849451136132, 0.07285710771316721)","(2.5335491316829994, 0.3007084294540296)","(17.274826929197456, 3.1399165548505983)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/ham_KM56206_1100v.xml,0.0014068092737055348,"(3249796.578968071, 185363.7556674661)","(1.045253912434401, 0.10501753885454716)","(3.496696819425042, 0.24538256852832574)","(21.992486652323336, 2.679056960049373)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/ham_KM56206_1150v.xml,0.0014780014924844153,"(5074114.5451981155, 142717.48761840202)","(1.7314160211701506, 0.6220562835399386)","(3.653698119440596, 0.5751994639203173)","(30.246401857872183, 11.460261463640533)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/ham_KM56206_1200v.xml,0.000733038546711515,"(6940835.767206518, 184911.1900917354)","(2.587895308184959, 0.4652324260766775)","(4.985264480355503, 0.33356904342471805)","(34.82950141051262, 3.5714352918406838)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/ham_KM56206_1250v.xml,0.000299725474884426,"(9362710.156562453, 248352.56721169336)","(3.291994537513889, 0.5479794569443381)","(6.383638883582038, 0.4585582148021275)","(43.812656493711536, 4.892428438367502)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/ham_KM56206_1300v.xml,0.0001566685665907301,"(12340783.932120861, 122883.0356046289)","(3.8911823172206783, 0.607175159045578)","(8.14609854261214, 0.6072621315975382)","(62.035330773176334, 10.134465560911899)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_900v.xml,0.0023881552128767925,"(1836836.821765849, 106314.92978466142)","(0.9978283094480548, 0.13935748588235738)","(1.4808736386167805, 0.18154789151353928)","(20.08404545421665, 6.15207225864184)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_950v.xml,0.0014977379426744347,"(2136130.518658494, 166581.57333690632)","(0.9988435580831123, 0.029260641486684565)","(2.506431650672012, 0.3401807526037656)","(17.50082756751863, 3.4371411791298887)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1000v.xml,0.0016316949729867588,"(3793222.8298280467, 228879.94652988279)","(1.3125954033460034, 0.6038251043529375)","(2.5262322608007226, 0.5556186290473464)","(24.24172031666919, 11.937830324527551)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1050v.xml,0.00017905152642826882,"(5426816.446769364, 92099.58940695752)","(1.7880383175996588, 0.21833283141372778)","(4.298746461657555, 0.24360966384167634)","(32.21832464545386, 3.777375049151146)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1100v.xml,5.63138819612793e-05,"(7901118.5182401575, 130677.18008844374)","(2.8010651463737397, 0.32420027643903543)","(5.661369127323726, 0.2486320497439927)","(39.87827722993266, 2.683114645771493)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1150v.xml,6.028616327279342e-05,"(11128679.81974849, 192847.7785200009)","(3.4458398355848168, 0.3879971276099497)","(7.498657876431907, 0.364204113940435)","(52.64420572817068, 3.9984792307821486)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1200v.xml,0.0007054459236396811,"(15410820.40970035, 1195325.6359399215)","(3.7022966609648336, 1.0662886785737273)","(9.522812537033694, 2.2550691876954025)","(69.25170734974147, 25.883277138745168)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1250v.xml,0.0009399526738172432,"(20729809.214236945, 3805544.8960148054)","(3.2802710512466176, 1.2044945617187726)","(13.388803436884992, 7.026309238013559)","(91.0770829731601, 75.31967237666518)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1300v.xml,0.0013990358376556186,"(27900452.461087845, 7532378.360130037)","(3.4294903904110403, 1.6197616668198485)","(17.315922047329266, 14.845675349282194)","(113.00507004106913, 159.30782552853867)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_900.xml,0.0016393480650974887,"(1341847.1989511969, 597922.6369851623)","(0.9982648840587948, 0.05011145604798738)","(2.3632238910044907, 0.5454366225145916)","(13.623274436285413, 5.505188750371551)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_950.xml,0.0003503279301373209,"(2628950.887748706, 46312.1430413015)","(0.9996531216040504, 0.028891686875859048)","(2.7530324311833447, 0.12069372379683228)","(17.76386009982407, 1.2224717403184207)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1000.xml,0.00046086553107756693,"(4188441.4269670923, 79628.56509482682)","(1.4631082498490409, 0.13306588567672553)","(3.1433328615670826, 0.11653100533364663)","(22.62334912105212, 1.39841171787903)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1050.xml,0.0002219499776611975,"(6068805.464784712, 93539.54877430442)","(2.5984707919786794, 0.31729104458379787)","(3.985978891425515, 0.1776701218037267)","(29.11085387801069, 2.001185098133427)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1100.xml,9.844065051695022e-05,"(8479774.117556088, 94849.9765971648)","(3.6316247129632035, 0.3416018544384197)","(5.5011055765993415, 0.18971852567851852)","(39.906929262468594, 2.1323890783637443)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1150.xml,0.00014645335236252628,"(11809761.548750104, 129508.22720646935)","(4.324250340882241, 0.3391777930916404)","(7.369153775285584, 0.2583606241081318)","(55.226951262699465, 3.0415368426505807)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1200.xml,0.00014689391170142127,"(16265793.109564196, 553969.8326608252)","(4.017557489277109, 0.6973131725853197)","(9.22015863765041, 1.2643594578188668)","(72.75559301254235, 16.835780742891036)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1250.xml,0.0006939128488281555,"(22153134.064779196, 1791928.8645325638)","(3.904094731089878, 1.6421374797260748)","(11.708698222158787, 8.831537229485116)","(100.93746984975415, 138.53300252724654)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1300.xml,0.0020410745017473827,"(29376224.607627314, 3230416.751651671)","(4.01055377868715, 2.0394037853575977)","(15.19264952277012, 15.198002227941988)","(128.30306717716445, 228.55730183531597)"
../../data/2023-10-13_LED/NNVT_PN2304-1470_900v.xml,0.0013604145582001193,"(1740379.0534163506, 378548.21026543604)","(0.9986519690789827, 0.024069988277149058)","(2.0167681676360614, 0.33908858104523387)","(9.826900004980104, 3.102998587273179)"
../../data/2023-10-13_LED/NNVT_PN2304-1470_950v.xml,0.0023011938633805506,"(2876198.666056894, 121348.52523088116)","(0.9990868725354196, 0.10864029291091006)","(2.532072944290202, 0.21281377321685363)","(18.851207089874517, 3.6824242320712823)"
../../data/2023-10-13_LED/NNVT_PN2304-1470_1000v.xml,0.0016134205895388838,"(4258090.069144208, 319378.2869698639)","(1.0188591698178402, 0.12624712494375628)","(4.35858709038215, 0.429016098630691)","(27.3660212600113, 4.567070340728854)"
../../data/2023-10-13_LED/NNVT_PN2304-1470_1050v.xml,0.0006106318313206389,"(7047866.630459328, 447553.4247300876)","(1.5568336888382819, 0.46757082239437536)","(5.562200171561914, 0.7758978655695237)","(36.55345292971826, 7.824241305444416)"
../../data/2023-10-13_LED/NNVT_PN2304-1470_1100v.xml,0.0004972826040852621,"(10435988.76855731, 322111.6544906142)","(2.392160098758956, 0.4665470033367286)","(7.017082198866992, 0.6341763318239982)","(47.6957114696661, 6.623035627114766)"
../../data/2023-10-13_LED/NNVT_PN2304-1470_1150v.xml,0.0001767975950801892,"(14718689.972326664, 419831.8370561105)","(3.116910665079397, 0.549457534080554)","(9.393826412731123, 0.8186756921101899)","(63.923230390420706, 8.733889494634374)"
../../data/2023-10-13_LED/NNVT_PN2304-1470_1200v.xml,0.00019926748965015404,"(20785967.772876624, 1494035.0762679926)","(3.325084755898585, 1.1526696128680671)","(11.805363173584686, 5.543893272009719)","(90.37539113250526, 80.32088229312299)"
../../data/2023-10-13_LED/NNVT_PN2304-1470_1250v.xml,5.653670625147649e-05,"(28015214.179853164, 1472761.319003225)","(3.5971212198567213, 0.7292412271204682)","(15.910351330705083, 3.8748143825400287)","(117.42321181591315, 50.69302212490464)"
../../data/2023-10-13_LED/NNVT_PN2304-1470_1300v.xml,4.098515966836292e-05,"(37228145.18604683, 1261258.2586676672)","(3.750131747953719, 0.7079911643158091)","(19.81460536766096, 5.683164913933447)","(158.8673696124626, 82.34111035556732)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_900v.xml,0.012004110820899992,"(1404725.5271220442, 1629381.835550834)","(0.9988893489025875, 0.15730234176630017)","(2.359075504621703, 1.3376322866327859)","(9.373604207725347, 13.67227680777405)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_950v.xml,0.009362468652954365,"(1352566.2616146225, 1395152.2535740177)","(0.9990448957824251, 0.06147536963197398)","(2.203868847447758, 0.9191196337105999)","(7.819293845268763, 9.956144233080195)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_1000v.xml,0.019149747667386245,"(1315673.4758657722, 2753934.658118545)","(1.5357514461019033, 0.42771740802005453)","(2.2074801285024392, 0.33277510116940134)","(3.4782946151393346, 2.626784758526211)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_1050v.xml,0.009316894397629881,"(1290716.3829441192, 383194.8440155799)","(0.999205007037377, 0.051534126429780475)","(2.9996790905503814, 0.22827091646619746)","(7.753859825646982, 1.5170783611469383)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_1100v.xml,0.0002517270084504965,"(2159799.7885872223, 345751.9339900144)","(0.9987001160381647, 0.10214443252034833)","(3.3549390412445548, 0.46266819478293464)","(13.52745686305423, 2.9799500380537642)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_1150v.xml,0.0005037349623077178,"(3563929.362334043, 463955.0781822349)","(0.9996374452145392, 0.13958156993837825)","(4.561183706941991, 0.8020324150557242)","(22.419056967091652, 6.800770123097173)"
