threshold,KM56213_passes,KM56206_passes,PN2305-1100_passes,PN2304-1470_passes,KM56213_dr,KM56213_dr_error,KM56206_dr,KM56206_dr_error,PN2305-1100_dr,PN2305-1100_dr_error,PN2304-1470_dr,PN2304-1470_dr_error
-0.5,44351033,34537331,27130648,33684341,147810761.97255948,"(147810761.97255948, 22194.9507663517)",115104178.33128035,"(115104178.33128035, 19586.042952464362)",90419579.48734356,"(90419579.48734356, 17359.307632285512)",112261378.66402179,"(112261378.66402179, 19342.666494753117)"
-1.0,10894031,3561305,6494272,4060568,36307046.62646041,"(36307046.62646041, 11000.099652685474)",11868927.73538524,"(11868927.73538524, 6289.3664682782955)",21643764.0308639,"(21643764.0308639, 8493.125729811085)",13532844.885966737,"(13532844.885966737, 6715.768390980153)"
-1.5,1361267,354806,436088,174618,4536758.197223955,"(4536758.197223955, 3888.4272177351845)",1182478.550441789,"(1182478.550441789, 1985.1704132046375)",1453370.8733929496,"(1453370.8733929496, 2200.844629629669)",581957.5754667178,"(581957.5754667178, 1392.6655125537518)"
-2.0,166402,19757,32320,31945,554575.7280052043,"(554575.7280052043, 1359.50743513057)",65845.07793295046,"(65845.07793295046, 468.449539219514)",107714.37560322716,"(107714.37560322716, 599.1533504568324)",106464.59556451398,"(106464.59556451398, 595.6673039344519)"
-2.5,35640,5414,25888,26636,118779.09487930124,"(118779.09487930124, 629.1745741770358)",18043.49101224851,"(18043.49101224851, 245.22313591670738)",86278.14837921859,"(86278.14837921859, 536.2305663834836)",88771.04296310515,"(88771.04296310515, 543.9222432444783)"
-3.0,21846,4315,24265,22175,72807.1859352754,"(72807.1859352754, 492.5930508558064)",14380.8023121264,"(14380.8023121264, 218.92366809994763)",80869.10037166791,"(80869.10037166791, 519.1495286028326)",73903.65962257309,"(73903.65962257309, 496.28840696822124)"
-3.5,17448,3829,22308,16676,58149.76564124714,"(58149.76564124714, 440.2254463469994)",12761.087381954108,"(12761.087381954108, 206.22675081725592)",74346.91494297003,"(74346.91494297003, 497.77448772345645)",55576.88513488293,"(55576.88513488293, 430.37621264945176)"
-4.0,14827,3454,19521,11411,49414.63635733444,"(49414.63635733444, 405.81580760953597)",11511.307343240922,"(11511.307343240922, 195.8679972980104)",65058.549695253634,"(65058.549695253634, 465.64328766917095)",38029.97339134979,"(38029.97339134979, 356.0116163546824)"
-4.5,12747,2967,16292,7469,42482.52307593863,"(42482.52307593863, 376.27581846115817)",9888.25966629873,"(9888.25966629873, 181.53530087233077)",54297.11037524062,"(54297.11037524062, 425.39219458998815)",24892.285624396773,"(24892.285624396773, 288.0272287652369)"
-5.0,11102,2437,13735,4472,37000.15463945012,"(37000.15463945012, 351.15829174390234)",8121.903878250761,"(8121.903878250761, 164.5243110172274)",45775.27688460164,"(45775.27688460164, 390.58597795942194)",14904.043555000986,"(14904.043555000986, 222.87082136611272)"
-5.5,9802,1907,10664,2325,32667.583838577742,"(32667.583838577742, 329.95876184535126)",6355.548090202791,"(6355.548090202791, 145.53842231032704)",35540.41155423312,"(35540.41155423312, 344.1615780536115)",7748.636240021756,"(7748.636240021756, 160.699229618803)"
-6.0,8694,1469,7775,1327,28974.900417526515,"(28974.900417526515, 310.75071323287204)",4895.805004985789,"(4895.805004985789, 127.73597111399593)",25912.10613598673,"(25912.10613598673, 293.86814734854)",4422.554963659729,"(4422.554963659729, 121.4053366613275)"
-6.5,7625,1147,5438,923,25412.19412050146,"(25412.19412050146, 291.0196004931962)",3822.6605450773995,"(3822.6605450773995, 112.87142944092572)",18123.476934726154,"(18123.476934726154, 245.76606603353304)",3076.1252686193898,"(3076.1252686193898, 101.25189653929783)"
-7.0,6741,840,4117,668,22466.04597590824,"(22466.04597590824, 273.6304847027725)",2799.5072867175377,"(2799.5072867175377, 96.59217808458669)",13720.918451685837,"(13720.918451685837, 213.84187300419532)",2226.274842294423,"(2226.274842294423, 86.1371597486848)"
-7.5,6028,603,2872,531,20089.797528968233,"(20089.797528968233, 258.75511168409923)",2009.6463022508037,"(2009.6463022508037, 81.8391240328947)",9571.648723158058,"(9571.648723158058, 178.60537887964068)",1769.688534817872,"(1769.688534817872, 76.79794104106286)"
-8.0,5333,421,1905,472,17773.538523886462,"(17773.538523886462, 243.38180520574736)",1403.0863901286707,"(1403.0863901286707, 68.38224648689561)",6348.882596662987,"(6348.882596662987, 145.46208429179927)",1573.056475393664,"(1573.056475393664, 72.40579318840028)"
-8.5,4753,317,1277,438,15840.5453973434,"(15840.5453973434, 229.76624318310888)",1056.4807260588802,"(1056.4807260588802, 59.3378692508947)",4255.917625164638,"(4255.917625164638, 119.0961616435883)",1459.7430852170019,"(1459.7430852170019, 69.74922259167836)"
-9.0,4203,239,950,421,14007.534673897393,"(14007.534673897393, 216.0638006208338)",796.5264780065374,"(796.5264780065374, 51.52301472854213)",3166.109431406739,"(3166.109431406739, 102.72215428366235)",1403.0863901286707,"(1403.0863901286707, 68.38224648689561)"
-9.5,3656,159,670,402,12184.522190761092,"(12184.522190761092, 201.51408629189228)",529.906736414391,"(529.906736414391, 42.024337759615946)",2232.9403358342265,"(2232.9403358342265, 86.26601121899068)",1339.7642015005358,"(1339.7642015005358, 66.82136495897862)"
-10.0,3180,100,499,388,10598.134728287821,"(10598.134728287821, 187.93855187982493)",333.274676990183,"(333.274676990183, 33.32746769901831)",1663.0406381810135,"(1663.0406381810135, 74.44792351109096)",1293.1057467219102,"(1293.1057467219102, 65.64749805231682)"
