fname,chisqr,gain,pv_r,sigma,pe_res
.\2023-08-15_wterm\nnvt_pn2209-4010-0815_1300v.pkl,0.003327358520747659,26828728.643989496,3.8,21.48981164383558,120.08071482900398
.\2023-08-15_wterm\nnvt_pn2209-4010-0815_1250v.pkl,0.003564233893750287,20628344.225112453,3.6520811099252937,16.52330372412888,91.82508220580205
.\2023-08-15_wterm\nnvt_pn2209-4010-0815_1200v.pkl,0.0007324608308486206,14848599.994869443,3.561719833564494,8.925615860151176,78.28366773764836
.\2023-08-15_wterm\nnvt_pn2209-4010-0815_1150v.pkl,9.5591711898819e-05,11566603.122381264,3.40763358778626,9.087199147757255,55.653732892588664
.\2023-08-15_wterm\nnvt_pn2209-4010-0815_1100v.pkl,5.107636504070691e-05,7911844.729618813,2.6978193146417446,6.33738762842281,39.75889527401643
.\2023-08-15_wterm\nnvt_pn2209-4010-0815_1050v.pkl,0.0001443076162744604,5473466.386195331,1.8549019607843136,4.384246575162127,29.805147005464942
.\2023-08-15_wterm\nnvt_pn2209-4010-0815_1000v.pkl,0.0036493285814121813,3443563.1616302026,1.1834094368340944,2.7582940924657766,25.199078232300266
.\2023-08-15_wterm\nnvt_pn2209-4010-0815_950v.pkl,0.010209420687933504,7192889.705294701,,1.2691014542869299,-62.03478684084277
.\2023-08-15_wterm\nnvt_pn2209-4010-0815_900v.pkl,0.22961771066656603,4423215.3622183595,1.039331366764995,1.1809985017122966,2.998476644668087
.\2023-06-20\nnvt_pn2209-4010-0620_900v.pkl,0.013885905700092183,3027706.1635284596,1.0675335570469797,2.425192636065514,26.145546933833565
.\2023-06-20\nnvt_pn2209-4010-0620_950v.pkl,0.00016122249982174325,5228000.530159174,1.4543630892678032,4.18762835316076,29.77770094571347
.\2023-06-20\nnvt_pn2209-4010-0620_1000v.pkl,0.0018310115697478993,15052019.201169688,2.286153846153846,6.028333690068456,41.75424798199461
.\2023-06-20\nnvt_pn2209-4010-0620_1050v.pkl,0.0012694270299020622,11490613.18899331,3.15,9.203981164383611,57.7117886608863
.\2023-06-20\nnvt_pn2209-4010-0620_1100v.pkl,7.593808782641237e-05,15664274.269748416,3.2204301075268815,11.418274022793277,89.30187213875584
.\2023-06-20\nnvt_pn2209-4010-0620_1150v.pkl,4.744957711767509e-05,21258529.577753868,3.249496981891348,13.852305860883398,124.4176770423294
.\2023-06-20\nnvt_pn2209-4010-0620_1200v.pkl,0.004873502135659461,29036805.715886008,3.3448979591836734,23.258481378424705,161.60512015708971
.\2023-06-20\nnvt_pn2209-4010-0620_1250v.pkl,0.0030623094473661377,41409837.39289926,3.1870026525198942,33.16927975171231,132.68237990845512
