threshold,Channel 0_passes,Channel 1_passes,Channel 2_passes,Channel 0_dr,Channel 1_dr,Channel 2_dr
-1.0,5950499,3636932,3918228,19831189.07836362,12120779.47700708,13058252.81545943
-1.5,244152,155938,116344,813683.7727156385,519693.5521713164,387738.88746693963
-2.0,4817,9886,1151,16053.584378466,32947.007507891816,3835.930168074396
-2.5,49,552,472,163.30197935329747,1839.6467878167389,1573.0313113215593
-3.0,7,66,278,23.328854193328212,219.95776810852314,926.488780820749
-3.5,4,25,150,13.330773824758978,83.31733640474361,499.90401842846165
-4.0,4,18,88,13.330773824758978,59.9884822114154,293.2770241446975
-4.5,4,18,62,13.330773824758978,59.9884822114154,206.62699428376416
-5.0,4,16,59,13.330773824758978,53.32309529903591,196.62891391519491
-5.5,4,15,54,13.330773824758978,49.99040184284617,179.9654466342462
-6.0,4,14,49,13.330773824758978,46.657708386656424,163.30197935329747
-6.5,4,14,45,13.330773824758978,46.657708386656424,149.9712055285385
-7.0,4,13,43,13.330773824758978,43.32501493046668,143.305818616159
-7.5,4,12,40,13.330773824758978,39.992321474276935,133.30773824758978
-8.0,3,10,32,9.998080368569234,33.326934561897446,106.64619059807183
-8.5,1,9,27,3.3326934561897446,29.9942411057077,89.9827233171231
-9.0,1,9,24,3.3326934561897446,29.9942411057077,79.98464294855387
-9.5,1,8,21,3.3326934561897446,26.661547649517956,69.98656257998464
-10.0,0,8,19,0.0,26.661547649517956,63.32117566760515
