threshold,PN2304-1470_passes,PN2305-1100_passes,PN2304-1470_dr,PN2305-1100_dr
-1.0,5997786,3370696,19992600.00739999,11235642.097691236
-1.5,302929,165020,1009762.3235710098,550066.11660055
-2.0,6550,1663,21833.311500021835,5543.327790005544
-2.5,254,24,846.6658200008467,79.99992000008
-3.0,159,10,529.99947000053,33.33330000003333
-3.5,107,7,356.66631000035665,23.333310000023335
-4.0,64,7,213.33312000021334,23.333310000023335
-4.5,39,6,129.99987000013,19.99998000002
-5.0,24,6,79.99992000008,19.99998000002
-5.5,20,6,66.66660000006667,19.99998000002
-6.0,14,6,46.66662000004667,19.99998000002
-6.5,14,6,46.66662000004667,19.99998000002
-7.0,11,5,36.66663000003667,16.666650000016666
-7.5,11,3,36.66663000003667,9.99999000001
-8.0,11,2,36.66663000003667,6.666660000006667
-8.5,11,2,36.66663000003667,6.666660000006667
-9.0,11,2,36.66663000003667,6.666660000006667
-9.5,8,2,26.666640000026668,6.666660000006667
-10.0,9,2,29.99997000003,6.666660000006667
