threshold,PN2304-1470_passes,PN2305-1100_passes,PN2304-1470_dr,PN2305-1100_dr
-1.0,5997786,3370696,19992600.00739999,9119615.094103144
-1.5,302929,165020,1009762.3235710098,518928.9621420757
-2.0,6550,1663,21833.311500021835,5049.9899000201995
-2.5,254,24,846.6658200008467,846.66497333672
-3.0,159,10,529.99947000053,566.6655333356
-3.5,107,7,356.66631000035665,339.99932000136
-4.0,64,7,213.33312000021334,229.99954000092
-4.5,39,6,129.99987000013,133.3330666672
-5.0,24,6,79.99992000008,73.33318666696
-5.5,20,6,66.66660000006667,49.9999000002
-6.0,14,6,46.66662000004667,43.33324666684
-6.5,14,6,46.66662000004667,36.66659333348
-7.0,11,5,36.66663000003667,29.99994000012
-7.5,11,3,36.66663000003667,29.99994000012
-8.0,11,2,36.66663000003667,26.66661333344
-8.5,11,2,36.66663000003667,26.66661333344
-9.0,11,2,36.66663000003667,23.33328666676
-9.5,8,2,26.666640000026668,23.33328666676
-10.0,9,2,29.99997000003,23.33328666676
