fname,chisqr,gain,gain_simple,pv_r,sigma,pe_res
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1150V.xml,0.000274143936580208,"(2930603.524821396, 16283.79805873494)","(3150349.0097930976, 16202.030872886879)","(1.6686229102255308, 0.05130909255132596)","(0.15484860006215478, 0.0030182414194926056)","(30.68217213398341, 0.618510904956407)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1200V.xml,9.09727801596383E-05,"(3871369.6431796076, 28391.162910908137)","(4078288.7967638606, 28375.029613364117)","(2.248109311829065, 0.094338170285449)","(0.23664009333717714, 0.003865752782866823)","(36.21994945168262, 0.6431187098764628)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1201V.xml,0.000148642219240709,"(3900244.665337952, 19013.552595105528)","(4124447.9775026045, 18980.98816658361)","(2.4160483161050776, 0.0830162193517563)","(0.2054073940812783, 0.0040564694402008125)","(31.08763834973643, 0.6303809034800788)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1225V.xml,4.62416041344147E-05,"(4550629.154059692, 15834.517085756639)","(4768370.947672937, 15820.073483812308)","(2.940706903773165, 0.04592548348968856)","(0.25228470310072465, 0.0029959302097654103)","(33.02618227608941, 0.40721091707806517)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1250V.xml,6.38839072373096E-05,"(5226758.205614309, 26599.2083750657)","(5454644.404874133, 26586.085115445912)","(3.5029645873743864, 0.0763932657483801)","(0.29066021795529745, 0.003923009626872394)","(33.26263417981181, 0.47731849903451173)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1260V.xml,0.0013967528807932,"(5634567.986807039, 104936.4473743894)","(5883928.063928487, 104867.18865102288)","(3.501778195547341, 0.27786171739366855)","(0.28283068664506117, 0.0157101152388249)","(30.005209380205766, 1.75036250118656)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1270V.xml,7.81563394205113E-05,"(5876692.750429688, 32608.702631902965)","(6094198.702755445, 32595.69896042271)","(3.8573799920163103, 0.09130037052286448)","(0.3194989656702207, 0.004834615766157258)","(32.72580470800307, 0.5252276358976782)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1273V.xml,3.51621188057838E-05,"(6024634.338116636, 19751.356148518335)","(6252355.432439319, 19743.339642499814)","(3.9306294391366343, 0.08989729701455314)","(0.3230883914977118, 0.0044320786042665915)","(32.25634709695855, 0.4540598486151696)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1280V.xml,7.99402035232025E-05,"(6209605.4162183665, 35274.415340846084)","(6427204.701285759, 35261.9431897333)","(3.955343483304218, 0.09469763158635089)","(0.33315980591891636, 0.005244650261430437)","(32.35697822173562, 0.5394164245505547)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1290V.xml,4.98695489586579E-05,"(6555342.771430329, 25545.491653920926)","(6773548.708406146, 25538.015229485172)","(4.018515426094679, 0.0692389571378698)","(0.3381782941160197, 0.00518650118959803)","(31.16498765384195, 0.4921954754257331)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1300V.xml,6.64697363117788E-05,"(6915968.787261409, 38940.334999063554)","(7140451.512307441, 38928.70406101684)","(4.171791731475189, 0.09389928680598829)","(0.3653432925701576, 0.005777536926823613)","(31.938385037849294, 0.5342454164698588)"
../../SinglePEMeasurements/HAM_KM56213(New)_900V.xml,0.000179571098822341,"(1569789.7933876093, 17898.36876518984)","(1785906.2319678077, 17839.96284484814)","(0.9993095348047731, 0.011052014362328062)","(0.14423885462939795, 0.0033093557077115456)","(50.41515428354302, 1.261582286005718)"
../../SinglePEMeasurements/HAM_KM56213(New)_950V.xml,0.00041131935610657,"(2598929.6809897614, 17617.271418420176)","(2831849.104350392, 17516.478088678505)","(1.3386428867476354, 0.05622040314163204)","(0.1436653709548141, 0.003370369931109678)","(31.667915589496815, 0.7683147451626957)"
../../SinglePEMeasurements/HAM_KM56213(New)_1000V.xml,0.000108435229491278,"(3683386.0583655434, 19882.63440729377)","(3916827.3030435247, 19853.97219501126)","(1.9251809363938241, 0.03081253718697465)","(0.21439751632152085, 0.0035223996744439445)","(34.16825619258679, 0.5874708152782069)"
../../SinglePEMeasurements/HAM_KM56213(New)_1025V.xml,7.97786030423737E-05,"(4438032.486236197, 22983.205879583922)","(4671344.988361637, 22964.26935344825)","(2.4200977500342513, 0.04255461955815027)","(0.2565530876847316, 0.004270884094145943)","(34.28252426860713, 0.5950713050927706)"
../../SinglePEMeasurements/HAM_KM56213(New)_1050V.xml,8.09025395847603E-05,"(5297394.15722833, 26957.802780962193)","(5529966.445686949, 26943.774129368587)","(2.8684278458520716, 0.07679794220757451)","(0.28381656226567226, 0.005565390361104375)","(32.03706537560295, 0.6473205679372936)"
../../SinglePEMeasurements/HAM_KM56213(New)_1075V.xml,0.00152171400184213,"(6282031.886010232, 138555.07229933678)","(6563032.202350154, 138510.1949640628)","(3.6433742477423916, 0.5947960062715958)","(0.3190959204877057, 0.03020720909786186)","(30.34968619743835, 2.94358520170315)"
../../SinglePEMeasurements/HAM_KM56213(New)_1100V.xml,2.77539339514707E-05,"(7300794.295960864, 29053.651531538355)","(7532834.352040272, 29048.948366124954)","(4.137393497213664, 0.07611603700851141)","(0.40785536503579956, 0.005640440612554443)","(33.797552427724696, 0.48523508598986126)"
../../SinglePEMeasurements/HAM_KM56213(New)_1125V.xml,0.000118419941823282,"(8567519.255807577, 91468.32024858186)","(8813011.42835349, 91455.83253923873)","(3.9083676787001127, 0.13938160859042217)","(0.4593156415499092, 0.013313089274045887)","(32.533020743823265, 1.0015721909678954)"
../../SinglePEMeasurements/HAM_KM56213(New)_1150V.xml,2.8064669195208E-05,"(10008862.18722279, 60029.63761141885)","(10240036.046428869, 60025.12647875918)","(4.2958804265526425, 0.09261111843720385)","(0.5420018889096505, 0.00864454418007218)","(33.039753834531915, 0.5614236649439537)"
../../SinglePEMeasurements/HAM_KM56213(New)_1200V.xml,1.74526924138122E-05,"(13462565.996306974, 84649.16634467297)","(13686574.233909132, 84647.10817326505)","(4.193424450419139, 0.08526953608412274)","(0.7284711319183815, 0.012157552429226441)","(33.22424166304706, 0.5913331587962236)"
../../SinglePEMeasurements/HAM_KM56213(New)_1250V.xml,0.000361650139802156,"(17770974.036820784, 558997.033752994)","(18032457.20170664, 558989.2924450138)","(3.810035570728848, 0.4918096432002049)","(0.8870433937661819, 0.08236592398988495)","(30.706296841892893, 3.0059081293263707)"
../../SinglePEMeasurements/HAM_KM56213(New)_1300V.xml,0.000682099455458212,"(23167778.491574, 1160079.0781898596)","(23460016.134038508, 1160071.296004863)","(3.7789770972530943, 0.9624657614831527)","(1.1235502431637547, 0.17305811057335194)","(29.895214913322754, 4.836172848670013)"
../../data/2024-02-22_LED/HAM_KM56213_900v.xml,0.00101900383427473,"(1002743.5409607274, 706188.9898292001)","(0,0)","(0.9994133235478765, 0.04990013512454705)","(2.5783839430861817, 0.2321951758198255)","(8.753015655187529, 4.699899873763289)"
../../data/2024-02-22_LED/HAM_KM56213_950v.xml,0.00164320232475748,"(1929321.4804264149, 520467.6038424581)","(0,0)","(0.998529667070009, 0.07150632313527082)","(2.7093433719466518, 0.5645094417826948)","(12.876264684549568, 4.351525264710595)"
../../data/2024-02-22_LED/HAM_KM56213_1000v.xml,0.000737056105491872,"(3071086.1170979426, 379895.70997567655)","(0,0)","(0.9989819332617641, 0.09560026727007022)","(4.5559765819576885, 0.7715309072287545)","(26.565025986802965, 7.199243411356757)"
../../data/2024-02-22_LED/HAM_KM56213_1050v.xml,0.000667794422805337,"(5382794.499138562, 166120.87202424806)","(0,0)","(1.1171584325736952, 0.19065785454093273)","(5.208091389383944, 0.4570655953371925)","(38.00528224028757, 8.626934754760073)"
../../data/2024-02-22_LED/HAM_KM56213_1100v.xml,0.000399291770663132,"(8003484.390664842, 531427.4475045932)","(0,0)","(1.6008641000336237, 0.5109826386584204)","(6.76230675729364, 0.9107754800711279)","(47.549589979708266, 9.812214323547115)"
../../data/2024-02-22_LED/HAM_KM56213_1150v.xml,0.000180092455931556,"(11042537.60258353, 299374.50973633776)","(0,0)","(2.347107737885338, 0.5760511382682537)","(8.772925239067531, 0.7862637056475299)","(68.58093770518522, 11.55024420750829)"
../../data/2024-02-22_LED/HAM_KM56213_1200v.xml,0.000244570197359637,"(15132093.965813652, 366242.83463310864)","(0,0)","(3.1667826882956884, 0.39976739416138257)","(11.102382016946901, 0.6869002133478072)","(81.85919022459137, 7.819508754231871)"
../../data/2024-02-22_LED/HAM_KM56213_1250v.xml,7.60536749720374E-05,"(20411550.73954025, 505153.71733413095)","(0,0)","(3.4210552419823643, 0.4419458035778432)","(13.840687177369706, 0.9389680981011147)","(106.36344428187843, 11.266665291643024)"
../../data/2024-02-22_LED/HAM_KM56213_1300v.xml,6.16594081015975E-05,"(26709378.364125796, 745380.7894870974)","(0,0)","(3.7047203444159944, 0.4847333569086095)","(17.43986526978133, 1.3864457658089235)","(135.05315022405236, 16.81047106143126)"
../../data/2024-02-22_LED/NNVT_PN2305-1100_900v.xml,0.00526196651042114,"(1243834.1558900122, 281409.14523078)","(0,0)","(0.999302920918916, 0.03582887950245211)","(3.6843111633267456, 0.26064104023829054)","(10.245422858476172, 1.4305270285471277)"
../../data/2024-02-22_LED/NNVT_PN2305-1100_950v.xml,0.00353808597793516,"(1459036.7674647344, 308372.62479860155)","(0,0)","(0.9991252797360326, 0.04837858094416816)","(3.3235160456699124, 0.25536344487887)","(11.385677190585788, 2.0025664165219776)"
../../data/2024-02-22_LED/NNVT_PN2305-1100_1000v.xml,0.00508793598849124,"(1113558.7223305735, 484998.1655759478)","(0,0)","(0.9994388114192564, 0.02995309219454917)","(3.3777332020298307, 0.30522475876360294)","(9.798439121949402, 1.8213204537603802)"
../../data/2024-02-22_LED/NNVT_PN2305-1100_1050v.xml,0.000606673852380133,"(1290684.7137768134, 262694.03488744586)","(0,0)","(0.9992554866268522, 0.01210016893780184)","(3.1936537165169914, 0.10476131016142347)","(9.666187247305155, 0.9235686294139644)"
../../data/2024-02-22_LED/NNVT_PN2305-1100_1100v.xml,0.000702938666516799,"(1703072.9517598639, 514561.8459715241)","(0,0)","(0.9988961204902369, 0.03209271136498335)","(3.2814335192530844, 0.3690952977779339)","(11.75317393133015, 2.832964768774005)"
../../data/2024-02-22_LED/NNVT_PN2305-1100_1150v.xml,0.000415727042073387,"(1988071.368549356, 458584.431864058)","(0,0)","(0.9988382377620336, 0.09243926375690184)","(3.388860704210774, 0.45698639245898887)","(11.138970755872197, 2.443190159025147)"
../../data/2024-02-22_LED/NNVT_PN2305-1100_1200v.xml,0.000290577978280926,"(2822799.0857558907, 121574.03026094109)","(0,0)","(0.9990289649073917, 0.033687674497299494)","(3.2312644545939015, 0.19193914799008266)","(14.612424009963638, 1.3907771226661103)"
../../data/2024-02-22_LED/NNVT_PN2305-1100_1250v.xml,0.000303928594869182,"(3356676.260633314, 221511.57423230284)","(0,0)","(0.9993715628191244, 0.17084063896834567)","(4.29739703108348, 0.42295835677241705)","(19.07897820971887, 4.923594605608327)"
../../data/2024-02-22_LED/NNVT_PN2305-1100_1300v.xml,0.000190094857102027,"(4063757.266312178, 979997.1408264792)","(0,0)","(0.9995968482487694, 0.2849836947828331)","(6.937851871695549, 1.5540141341901816)","(30.463333949175347, 14.36805479964627)"
../../data/2024-02-22_LED/NNVT_PN2304-1470_900v.xml,0.000553374227343803,"(1292630.5174105722, 389501.82120000425)","(0,0)","(0.9987571861091579, 0.06429860909064818)","(1.8962399413197868, 0.29331042848617556)","(9.195585991699815, 4.010786412495522)"
../../data/2024-02-22_LED/NNVT_PN2304-1470_950v.xml,0.000324536824268926,"(1748112.1236192056, 158926.83393727927)","(0,0)","(0.9984032815847137, 0.018290445552564365)","(1.9642493885692076, 0.16211666617056852)","(12.628964126453203, 1.7352862296414773)"
../../data/2024-02-22_LED/NNVT_PN2304-1470_1000v.xml,0.00163288814242724,"(3170396.2691009147, 143407.70299675077)","(0,0)","(0.9995030785849109, 0.1957599160388447)","(2.415379393437429, 0.2629208981496108)","(23.14572431044137, 7.470739752781833)"
../../data/2024-02-22_LED/NNVT_PN2304-1470_1050v.xml,0.000551613957137039,"(4409758.144849502, 140565.3822370329)","(0,0)","(1.1199931017928153, 0.31804960717004976)","(3.8722916464817434, 0.4914193417875662)","(28.910641072667218, 11.224908068025993)"
../../data/2024-02-22_LED/NNVT_PN2304-1470_1100v.xml,0.000301825430803521,"(6619377.87087396, 230825.95839520334)","(0,0)","(1.8905149907710868, 0.4179069977496437)","(4.8850545963133625, 0.4141897123575443)","(34.90605977914715, 4.566870081751571)"
../../data/2024-02-22_LED/NNVT_PN2304-1470_1150v.xml,0.000308200525631181,"(9420617.844439445, 191348.85673820632)","(0,0)","(2.9805295262042235, 0.46872842141560256)","(6.167193130421969, 0.38361441945737884)","(44.90034465864935, 4.31312565432027)"
../../data/2024-02-22_LED/NNVT_PN2304-1470_1200v.xml,0.00072887667598427,"(12932085.245315563, 961764.7906112656)","(0,0)","(3.8924699686653943, 1.5182628470486534)","(7.575132953096875, 1.8933582985151705)","(60.17080631870363, 23.819663142331667)"
../../data/2024-02-22_LED/NNVT_PN2304-1470_1250v.xml,0.000991791762229898,"(17796246.381461147, 1310402.6735907737)","(0,0)","(4.009143980532176, 1.5471885167074222)","(9.495897870517412, 6.312356356079366)","(85.84230885237348, 105.15638351745017)"
../../data/2024-02-22_LED/NNVT_PN2304-1470_1300v.xml,0.00248742414711474,"(24082765.55054642, 3783535.6474712766)","(0,0)","(3.9148474341665542, 3.0186595169136625)","(12.975492410061936, 17.465285517058348)","(114.26553843977841, 283.99245811883975)"
../../data/2024-02-22_LED/HAM_KM56206_900v.xml,0.0239638960149493,"(518631.8731380857, 749905.8475079241)","(0,0)","(0.9997154148684257, 0.13627437631248668)","(2.448696477348216, 1.1366301972581372)","(9.363073428351893, 11.371454525195405)"
../../data/2024-02-22_LED/HAM_KM56206_950v.xml,0.00420912735841721,"(1326768.2158284106, 840275.4580384669)","(0,0)","(0.9986853466091858, 0.0962314917283136)","(2.1208775227206234, 0.7723074112542261)","(9.416157549412025, 7.313841961757802)"
../../data/2024-02-22_LED/HAM_KM56206_1000v.xml,0.00123929596386656,"(1552034.4368973663, 305524.4222009066)","(0,0)","(0.9984197860938369, 0.024510628739036557)","(2.777441936858223, 0.30046407576696443)","(12.939519999175676, 2.3965080204702263)"
../../data/2024-02-22_LED/HAM_KM56206_1050v.xml,0.00209820701677841,"(2706768.4098077756, 255183.19680870525)","(0,0)","(0.9992296315724654, 0.07931238842489362)","(4.263595357725239, 0.45816362714070646)","(24.158871132939424, 4.391780016803094)"
../../data/2024-02-22_LED/HAM_KM56206_1100v.xml,0.00145302026772407,"(4805988.842620656, 262301.4099331385)","(0,0)","(1.1523208040261261, 0.49167237497277694)","(4.6432758354277235, 0.7173627748240116)","(32.70259367249922, 17.36809885502669)"
../../data/2024-02-26_LED/HAM_KM56206_1150v.xml,0.000703974063785181,"(6473403.823773773, 806201.2737341075)","(0,0)","(1.239974124608095, 0.4967780216964371)","(6.342520338044803, 1.351158729178073)","(47.76687747096635, 16.111870290893194)"
../../data/2024-02-22_LED/HAM_KM56206_1200v.xml,0.000309563276034656,"(9646848.765311414, 369391.70524903736)","(0,0)","(2.2109833585682543, 0.507931688327773)","(7.320146796341404, 0.7012349924084293)","(51.34215865159737, 7.484333076936681)"
../../data/2024-02-22_LED/HAM_KM56206_1250v.xml,0.0002160994044915,"(13092041.549917417, 397235.3882252173)","(0,0)","(2.6462486423427585, 0.34974444062149024)","(9.519199030459232, 0.754860393586895)","(65.61124819979523, 8.016196277144664)"
../../data/2024-02-22_LED/HAM_KM56206_1300v.xml,0.000215413598302594,"(17319754.773583084, 441537.2562647725)","(0,0)","(3.358859834679212, 0.4140386569477856)","(11.233745864757665, 0.8217799857838064)","(78.59099320923114, 9.029050265797299)"
