fname,chisqr,gain,gain_simple,pv_r,sigma,pe_res
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1150V.xml,0.000357090014780057,"(2339753.835120235, 11660.247242304193)","(2567886.8737107785, 11645.914472186909)","(2.4977394575021945, 0.059665670793952685)","(0.12508235418564165, 0.0022632169800724574)","(30.40588492211408, 0.5671771841440071)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1200V.xml,0.000157477836615741,"(3185359.029748069, 12975.682041163123)","(3423691.3251273767, 12970.817568676532)","(3.338157118270986, 0.06489596229504219)","(0.1690681865245751, 0.0026628416181110628)","(30.825120296946523, 0.4993468617342457)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1201V.xml,0.0002024217150852,"(3174079.3235154124, 13496.235892035433)","(3414384.256997529, 13490.373688558104)","(3.295118159646564, 0.07815555743895405)","(0.16522955609601664, 0.0029230858384861062)","(30.20736401108851, 0.5475656968652687)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1225V.xml,0.000120010266919712,"(3740604.2444571177, 13737.449239022937)","(3968809.6322514536, 13734.115703765334)","(3.943757642201175, 0.06181288107209459)","(0.19943056234652035, 0.002830711239101633)","(31.366707498738933, 0.45825880063513363)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1250V.xml,0.000222900908813339,"(4337303.256034698, 27503.594899008942)","(4569999.726504657, 27497.811521150372)","(3.9968627020592065, 0.09732624361349121)","(0.2278819223574475, 0.004032607468436474)","(31.12656444149765, 0.5817873999363754)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1260V.xml,0.000125340191325261,"(4628791.94375417, 24625.33745109519)","(4857216.012537162, 24621.530678571362)","(4.272290879083633, 0.0859559725397569)","(0.2488068322555628, 0.0036058551439150043)","(31.97513392306039, 0.4909308065946617)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1270V.xml,0.000120172269145376,"(4906513.65870527, 27781.947857935513)","(5137752.428951945, 27778.098313399274)","(4.3334341530973655, 0.09405401036128548)","(0.2629842907509702, 0.004034865774734913)","(31.951711183496208, 0.5197707079586587)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1273V.xml,0.000111256372814088,"(4987090.043570861, 26965.565451020335)","(5232829.848573655, 26961.78936408094)","(4.270500347100285, 0.08570501783316195)","(0.2664896171186739, 0.00391201020532896)","(31.789314848448193, 0.49457024225822466)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1280V.xml,0.000110851305095256,"(5182408.036058109, 28984.28741040445)","(5413964.996830981, 28981.09154220408)","(4.246938272996788, 0.08688688249126438)","(0.2757842530944844, 0.004216494008221759)","(31.79739263578884, 0.515089856441157)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1290V.xml,0.000117392819139686,"(5505910.533755704, 33418.405546320086)","(5740126.322591075, 33415.228352776976)","(4.315613161187081, 0.09647681936586022)","(0.2922980609658579, 0.004866317060489116)","(31.78644599098859, 0.560613911349092)"
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_1300V.xml,0.0012556032549934,"(5809162.0875774035, 110496.57864001594)","(6054939.147538545, 110485.79686779356)","(3.924450537398974, 0.24577483248559132)","(0.29188185619273094, 0.01614162950032683)","(30.09087418812335, 1.7523288907467165)"
../../SinglePEMeasurements/HAM_KM56213(New)_900V.xml,0.00107199997858889,"(1741697.0923103371, 12573.500738372806)","(1974579.6709665416, 12535.42444822521)","(1.7002674649051612, 0.11793999207258558)","(0.09264693999975235, 0.0029189360530668313)","(29.2882826106663, 0.9413033951574652)"
