fname,chisqr,charge[pC],sigma[pC],gain (calc),N_PE,sigma[NPE]
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol00.xml,2.56500014847084E-07,115.522292317393,14.5353002306555,1.14E+07,1.77614023599493E-10,2.23478352654248E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol15.xml,4.24243975545013E-07,111.981662289467,14.8337266180592,1.23E+07,1.72170350930591E-10,2.28066619589725E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol30.xml,4.10711046893936E-07,116.965208797146,15.2424569159283,1.24E+07,1.7983248894108E-10,2.34350794818181E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol40.xml,4.2779453559517E-07,98.486144734068,14.2062510030957,1.28E+07,1.5142116801976E-10,2.1841926352982E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol50.xml,4.96596515472304E-07,94.9383464204059,14.3848808903572,1.36E+07,1.45966474204667E-10,2.2116567483929E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol60.xml,4.57094816163324E-07,95.6100809662199,15.3049269946713,1.53E+07,1.46999257341839E-10,2.35311264162889E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol70.xml,8.16129472345222E-06,23.8873491764813,5.55397415967576,8.06E+06,3.67264890200078E-11,8.53916311457317E-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az030Pol60.xml,3.38960745381464E-07,118.088665414482,17.400933258805,1.60E+07,1.8155978889455E-10,2.67537088165731E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol00.xml,3.62440154571069E-07,113.08116247682,15.3083333068289,1.29E+07,1.73860818184197E-10,2.35363635769773E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol15.xml,3.22446601513911E-07,122.253446419201,15.6749385809231,1.25E+07,1.87963085581448E-10,2.41000144230474E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol30.xml,2.72790026219594E-07,127.557203081778,16.3137066806034,1.30E+07,1.96117542544999E-10,2.50821120775806E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol40.xml,2.74616022041574E-07,127.00177289966,16.1269955243466,1.28E+07,1.95263575856012E-10,2.47950461005434E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol50.xml,3.91032250359597E-07,108.291572572381,15.3759054239142,1.36E+07,1.6649688593135E-10,2.36402548291148E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol60.xml,3.27548620555549E-07,114.82569343564,16.567219954835,1.49E+07,1.76543011868846E-10,2.54718854431269E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol70.xml,1.34564580287018E-06,60.1235239962164,9.30974008165621,9.00E+06,9.24391370334747E-11,1.4313604425589E-11
