threshold,Channel 0_passes,Channel 1_passes,Channel 2_passes,Channel 0_dr,Channel 1_dr,Channel 2_dr
-1.0,5769646,2923886,3767677,19228461.468731336,9744415.738844808,12556512.482936608
-1.5,231844,156452,122608,772664.9816568551,521406.5566077979,408614.8792765122
-2.0,4969,8365,12564,16560.15378380684,27877.980761027215,41871.96058356795
-2.5,657,1011,11795,2189.5796007166623,3369.3530842078317,39309.119315758035
-3.0,583,571,11468,1942.960284958621,1902.9679634843442,38219.32855558399
-3.5,536,509,11099,1786.323692517703,1696.34096920058,36989.56467024997
-4.0,480,474,10646,1599.6928589710774,1579.6966982339388,35479.85453459602
-4.5,414,444,10178,1379.7350908625542,1479.7158945482465,33920.153997099216
-5.0,339,422,9804,1129.7830816483233,1406.3966385120723,32673.726644484253
-5.5,281,393,9354,936.4868611893182,1309.7485282825696,31174.01458919887
-6.0,215,371,8816,716.5290930807951,1236.4292722463952,29381.025509768788
-6.5,164,344,8254,546.561726815118,1146.446548929272,27508.05178739015
-7.0,110,326,7804,366.5962801808719,1086.4580667178568,26008.339732104767
-7.5,84,310,7252,279.94625031993854,1033.134971418821,24168.69294428803
-8.0,63,287,6602,209.9596877399539,956.4830219264567,22002.442197764693
-8.5,42,265,5923,139.97312515996927,883.1637658902823,19739.543341011857
-9.0,30,244,5414,99.98080368569234,813.1772033102976,18043.202371811276
-9.5,22,221,4779,73.31925603617438,736.5252538179335,15926.942027130788
-10.0,17,190,4162,56.65578875522566,633.2117566760514,13870.670164661717
